#Tabulated potential
r,f(r)
0.0005,-4.98141528026963e-10
0.0015,-4.981388634917039e-10
0.0025,-4.981361989564448e-10
0.0035,-4.981317580643463e-10
0.0045000000000000005,-4.981259849046182e-10
0.0055,-4.981179912988409e-10
0.006500000000000001,-4.981082213362242e-10
0.0075,-4.980980072843977e-10
0.0085,-4.980855727865219e-10
0.0095,-4.980718060210165e-10
0.0105,-4.980567069878816e-10
0.0115,-4.980389434194876e-10
0.0125,-4.980211798510936e-10
0.0135,-4.980009737920454e-10
0.0145,-4.979789913761579e-10
0.0155,-4.979558987372457e-10
0.0165,-4.979314738307039e-10
0.0175,-4.979054946119277e-10
0.0185,-4.978781831255219e-10
0.0195,-4.978484291484619e-10
0.0205,-4.978168988145626e-10
0.021500000000000002,-4.977853684806632e-10
0.0225,-4.977511736115048e-10
0.0235,-4.977156464747168e-10
0.0245,-4.976787870702992e-10
0.025500000000000002,-4.976405953982521e-10
0.0265,-4.976006273693656e-10
0.0275,-4.975588829836397e-10
0.0285,-4.975153622410744e-10
0.029500000000000002,-4.974713974092992e-10
0.0305,-4.974252121314748e-10
0.0315,-4.973768064076012e-10
0.0325,-4.973279565945177e-10
0.0335,-4.972782186030145e-10
0.0345,-4.972251499424374e-10
0.035500000000000004,-4.971709710588357e-10
0.0365,-4.971150158183946e-10
0.0375,-4.970588385333485e-10
0.0385,-4.969997746684385e-10
0.0395,-4.969398226251087e-10
0.0405,-4.968789824033593e-10
0.0415,-4.968156996909556e-10
0.0425,-4.967515288001323e-10
0.043500000000000004,-4.966849154186548e-10
0.0445,-4.966174138587576e-10
0.0455,-4.965490241204407e-10
0.0465,-4.964784139360745e-10
0.0475,-4.964060273948689e-10
0.0485,-4.963323085860338e-10
0.0495,-4.962574795541741e-10
0.0505,-4.96180874165475e-10
0.051500000000000004,-4.961022703753315e-10
0.0525,-4.960223343175585e-10
0.0535,-4.959419541705756e-10
0.0545,-4.958584653991238e-10
0.0555,-4.957736443600425e-10
0.0565,-4.956888233209611e-10
0.0575,-4.956022259250403e-10
0.0585,-4.955125199046506e-10
0.059500000000000004,-4.954228138842609e-10
0.0605,-4.953313315070318e-10
0.0615,-4.952376286837534e-10
0.0625,-4.951430376820554e-10
0.0635,-4.95046226234308e-10
0.0645,-4.949489706973509e-10
0.0655,-4.948494947143445e-10
0.0665,-4.947491305529184e-10
0.0675,-4.946461018562331e-10
0.0685,-4.945430731595479e-10
0.0695,-4.944373799276036e-10
0.07050000000000001,-4.943307985172396e-10
0.07150000000000001,-4.94222884839246e-10
0.0725,-4.941131948044131e-10
0.0735,-4.940021725019506e-10
0.0745,-4.938895958872536e-10
0.0755,-4.937750208711122e-10
0.0765,-4.936597797211562e-10
0.0775,-4.935429842589656e-10
0.0785,-4.934239683507258e-10
0.0795,-4.933040642640663e-10
0.0805,-4.931821617759624e-10
0.0815,-4.930598151986487e-10
0.0825,-4.929359143091006e-10
0.0835,-4.928089047950834e-10
0.0845,-4.926825614148811e-10
0.0855,-4.92552665321e-10
0.08650000000000001,-4.924229912717237e-10
0.08750000000000001,-4.922906526871884e-10
0.0885,-4.921578700134432e-10
0.0895,-4.920237550720685e-10
0.0905,-4.918867535508298e-10
0.0915,-4.91749752029591e-10
0.0925,-4.91610530062303e-10
0.0935,-4.914695317381756e-10
0.0945,-4.913283113694433e-10
0.0955,-4.911857587330815e-10
0.0965,-4.910392092938309e-10
0.0975,-4.9089399212221e-10
0.0985,-4.907463324599348e-10
0.0995,-4.905966743962153e-10
0.1005,-4.904459061094713e-10
0.1015,-4.902940275997025e-10
0.10250000000000001,-4.901412609115141e-10
0.10350000000000001,-4.899858296880666e-10
0.1045,-4.898299543754092e-10
0.1055,-4.896718586167026e-10
0.1065,-4.895133187687861e-10
0.1075,-4.893523364302155e-10
0.1085,-4.89190910002435e-10
0.1095,-4.890274851732102e-10
0.1105,-4.888631721655656e-10
0.1115,-4.886970828010817e-10
0.1125,-4.885292170797584e-10
0.1135,-4.883600190908055e-10
0.1145,-4.881890447450132e-10
0.1155,-4.88017848354616e-10
0.1165,-4.878442094735647e-10
0.11750000000000001,-4.876699044586985e-10
